train_accuracy_step,step,epoch,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.734375,49,0,,,,,,
0.8203125,99,0,,,,,,
0.84765625,149,0,,,,,,
,187,0,0.30461031198501587,0.9113333225250244,,,,
,187,0,,,1.6630330085754395,0.7358124852180481,,
0.890625,199,1,,,,,,
0.86328125,249,1,,,,,,
0.8671875,299,1,,,,,,
0.85546875,349,1,,,,,,
,375,1,0.2607869803905487,0.9279999732971191,,,,
,375,1,,,0.42543432116508484,0.8746041655540466,,
0.87890625,399,2,,,,,,
0.8828125,449,2,,,,,,
0.88671875,499,2,,,,,,
0.87890625,549,2,,,,,,
,563,2,0.20482099056243896,0.9428333044052124,,,,
,563,2,,,0.36075809597969055,0.8937291502952576,,
0.86328125,599,3,,,,,,
0.90234375,649,3,,,,,,
0.91796875,699,3,,,,,,
0.91015625,749,3,,,,,,
,751,3,0.19677689671516418,0.940666675567627,,,,
,751,3,,,0.32248833775520325,0.9055625200271606,,
0.87890625,799,4,,,,,,
0.90625,849,4,,,,,,
0.921875,899,4,,,,,,
,939,4,0.20199964940547943,0.940833330154419,,,,
,939,4,,,0.304348886013031,0.9132708311080933,,
0.90625,949,5,,,,,,
0.953125,999,5,,,,,,
0.9140625,1049,5,,,,,,
0.88671875,1099,5,,,,,,
,1127,5,0.16268663108348846,0.95333331823349,,,,
,1127,5,,,0.2891591191291809,0.9182083606719971,,
0.8984375,1149,6,,,,,,
0.9453125,1199,6,,,,,,
0.9296875,1249,6,,,,,,
0.94140625,1299,6,,,,,,
,1315,6,0.21056309342384338,0.9360833168029785,,,,
,1315,6,,,0.27924805879592896,0.9214583039283752,,
0.921875,1349,7,,,,,,
0.93359375,1399,7,,,,,,
0.9296875,1449,7,,,,,,
0.90234375,1499,7,,,,,,
,1503,7,0.15435275435447693,0.9595000147819519,,,,
,1503,7,,,0.26473939418792725,0.9263749718666077,,
0.9296875,1549,8,,,,,,
0.9609375,1599,8,,,,,,
0.921875,1649,8,,,,,,
,1691,8,0.16028736531734467,0.9557499885559082,,,,
,1691,8,,,0.26016828417778015,0.9271666407585144,,
0.93359375,1699,9,,,,,,
0.8984375,1749,9,,,,,,
0.953125,1799,9,,,,,,
0.91015625,1849,9,,,,,,
,1879,9,0.16495442390441895,0.95333331823349,,,,
,1879,9,,,0.25539451837539673,0.9281458258628845,,
0.95703125,1899,10,,,,,,
0.91015625,1949,10,,,,,,
0.9296875,1999,10,,,,,,
0.92578125,2049,10,,,,,,
,2067,10,0.16370290517807007,0.9568333625793457,,,,
,2067,10,,,0.24110987782478333,0.9331874847412109,,
0.94140625,2099,11,,,,,,
0.96875,2149,11,,,,,,
0.91015625,2199,11,,,,,,
0.93359375,2249,11,,,,,,
,2255,11,0.15990391373634338,0.9595000147819519,,,,
,2255,11,,,0.2400103360414505,0.9338541626930237,,
0.9453125,2299,12,,,,,,
0.9140625,2349,12,,,,,,
0.921875,2399,12,,,,,,
,2443,12,0.16319780051708221,0.9554166793823242,,,,
,2443,12,,,0.2401740700006485,0.9351249933242798,,
0.91796875,2449,13,,,,,,
0.93359375,2499,13,,,,,,
0.953125,2549,13,,,,,,
0.9375,2599,13,,,,,,
,2631,13,0.14546756446361542,0.9602500200271606,,,,
,2631,13,,,0.23436309397220612,0.9365208148956299,,
0.9375,2649,14,,,,,,
0.9375,2699,14,,,,,,
0.93359375,2749,14,,,,,,
0.94921875,2799,14,,,,,,
,2819,14,0.1447092443704605,0.9574166536331177,,,,
,2819,14,,,0.22729738056659698,0.9377291798591614,,
0.9453125,2849,15,,,,,,
0.9609375,2899,15,,,,,,
0.93359375,2949,15,,,,,,
0.92578125,2999,15,,,,,,
,3007,15,0.15596133470535278,0.956333339214325,,,,
,3007,15,,,0.22863444685935974,0.9369999766349792,,
0.9296875,3049,16,,,,,,
0.91796875,3099,16,,,,,,
0.94140625,3149,16,,,,,,
,3195,16,0.15545441210269928,0.9597499966621399,,,,
,3195,16,,,0.22720684111118317,0.937749981880188,,
0.9296875,3199,17,,,,,,
0.9375,3249,17,,,,,,
0.94140625,3299,17,,,,,,
0.9375,3349,17,,,,,,
,3383,17,0.1413750797510147,0.9618333578109741,,,,
,3383,17,,,0.22296759486198425,0.9383749961853027,,
0.93359375,3399,18,,,,,,
0.91796875,3449,18,,,,,,
0.93359375,3499,18,,,,,,
0.95703125,3549,18,,,,,,
,3571,18,0.1533961445093155,0.9555833339691162,,,,
,3571,18,,,0.2250850349664688,0.9396666884422302,,
0.9375,3599,19,,,,,,
0.9375,3649,19,,,,,,
0.9375,3699,19,,,,,,
0.9609375,3749,19,,,,,,
,3759,19,0.14576995372772217,0.9620833396911621,,,,
,3759,19,,,0.21765659749507904,0.9405624866485596,,
0.95703125,3799,20,,,,,,
0.921875,3849,20,,,,,,
0.93359375,3899,20,,,,,,
,3947,20,0.14937496185302734,0.9581666588783264,,,,
,3947,20,,,0.22052030265331268,0.9385208487510681,,
0.9375,3949,21,,,,,,
0.94921875,3999,21,,,,,,
0.9765625,4049,21,,,,,,
0.96875,4099,21,,,,,,
,4135,21,0.15545238554477692,0.9585833549499512,,,,
,4135,21,,,0.2073943018913269,0.9427708387374878,,
0.9375,4149,22,,,,,,
0.9296875,4199,22,,,,,,
0.953125,4249,22,,,,,,
0.953125,4299,22,,,,,,
,4323,22,0.15204370021820068,0.9580000042915344,,,,
,4323,22,,,0.21011273562908173,0.9426041841506958,,
0.92578125,4349,23,,,,,,
0.9296875,4399,23,,,,,,
0.9375,4449,23,,,,,,
0.94140625,4499,23,,,,,,
,4511,23,0.18332113325595856,0.9547500014305115,,,,
,4511,23,,,0.21278151869773865,0.9418541789054871,,
0.94921875,4549,24,,,,,,
0.96875,4599,24,,,,,,
0.94921875,4649,24,,,,,,
0.9296875,4699,24,,,,,,
,4699,24,0.15074460208415985,0.9602500200271606,,,,
,4699,24,,,0.2071947604417801,0.9440208077430725,,
0.953125,4749,25,,,,,,
0.93359375,4799,25,,,,,,
0.93359375,4849,25,,,,,,
,4887,25,0.1579219102859497,0.9615833163261414,,,,
,4887,25,,,0.2042011171579361,0.9432291388511658,,
0.9609375,4899,26,,,,,,
0.96484375,4949,26,,,,,,
0.94140625,4999,26,,,,,,
0.9375,5049,26,,,,,,
,5075,26,0.1645861268043518,0.9580000042915344,,,,
,5075,26,,,0.20019981265068054,0.9442083239555359,,
0.953125,5099,27,,,,,,
0.96875,5149,27,,,,,,
0.93359375,5199,27,,,,,,
0.90625,5249,27,,,,,,
,5263,27,0.16383609175682068,0.9593333601951599,,,,
,5263,27,,,0.20797981321811676,0.9454166889190674,,
0.91796875,5299,28,,,,,,
0.95703125,5349,28,,,,,,
0.9296875,5399,28,,,,,,
0.921875,5449,28,,,,,,
,5451,28,0.14150403439998627,0.9634166955947876,,,,
,5451,28,,,0.20405055582523346,0.9443958401679993,,
0.94921875,5499,29,,,,,,
0.9375,5549,29,,,,,,
0.91015625,5599,29,,,,,,
,5639,29,0.14818978309631348,0.9616666436195374,,,,
,5639,29,,,0.1984463334083557,0.9460625052452087,,
,5640,30,,,,,0.15074127912521362,0.9617999792098999
